date,btc_etf_vol_proxy_usd,eth_etf_vol_proxy_usd
2025-05-09,2141307036.4299774,126310334.02404785
2025-05-12,2567012775.3715515,178208638.02566528
2025-05-13,2284161399.078369,165954675.47607422
2025-05-14,2261454820.6199646,108914653.08094025
2025-05-15,1969188084.5428467,118424139.86663818
2025-05-16,2211333148.498535,46349686.851882935
2025-05-19,3036999833.9725494,109769576.79958344
2025-05-20,3031557693.405533,64116692.118644714
2025-05-21,6104969491.455841,161329287.28637695
2025-05-22,4207924854.5360565,166399019.36035156
2025-05-23,3831691775.4730225,69123247.48764038
2025-05-27,3096162500.0,88289914.6030426
2025-05-28,2689465141.504669,67345614.58129883
2025-05-29,4208886519.760895,77140800.0
2025-05-30,2716132758.178711,109249995.12176514
2025-06-02,1824340578.7582397,55181705.20172119
2025-06-03,2257848697.039795,47386714.990997314
2025-06-04,1930266472.2457886,59401721.49581909
2025-06-05,3356170588.054657,102839761.75613403
2025-06-06,2043142518.1304932,48029545.42236328
2025-06-09,2714810051.1188507,52195438.62800598
2025-06-10,2048985977.115631,96940181.89029694
2025-06-11,1876033900.6290436,94274928.61633301
2025-06-12,2228515548.010254,64386114.43977356
2025-06-13,2516714842.7101135,69578812.96081543
2025-06-16,2621259327.6397705,63921340.116119385
2025-06-17,3207091650.0,95091847.92518616
2025-06-18,2368612657.03125,53671414.00852203
2025-06-20,2068809741.4337158,99022000.0
2025-06-23,3740048107.2753906,155296626.47094727
2025-06-24,2425655287.463379,81927883.44898224
2025-06-25,2500785999.774933,50017688.484191895
2025-06-26,1799631426.034546,31231911.826133728
2025-06-27,2163933331.503296,31467726.359939575
2025-06-30,2091790508.7127686,66518369.94628906
2025-07-01,2128837925.4283905,47751910.53466797
2025-07-02,4113490363.33313,95649033.66184235
2025-07-03,2031274611.1450195,43927727.37121582
2025-07-07,2320514817.668152,56572949.18060303
2025-07-08,1821928121.006012,75772050.06008148
2025-07-09,3622432456.323242,144300784.9205017
2025-07-10,5427346050.0,159832321.04492188
2025-07-11,5244523927.559662,146198164.4475937
2025-07-14,4662939308.87146,124356856.90898895
2025-07-15,5430373404.58374,180831456.83383942
2025-07-16,3971277032.2036743,308138747.0340729
2025-07-17,3065241864.138031,245155501.98554993
2025-07-18,3401373487.5671387,427647866.78123474
2025-07-21,3122869550.2075195,341448645.3689575
2025-07-22,3077936084.149933,243229713.2232666
2025-07-23,2346987754.9324036,204576575.25520325
2025-07-24,2249688355.7647705,153270593.77822876
2025-07-25,3583154684.95636,125209933.41579437
2025-07-28,2599990740.875244,201025160.48812866
2025-07-29,2562150947.8370667,154330308.16192627
2025-07-30,2714738859.3437195,196538544.9645996
2025-07-31,2749832779.346466,93049073.84033203
2025-08-01,4484463419.241333,260153455.89065552
2025-08-04,1955034948.4924316,157069726.41906738
2025-08-05,2022203130.6045532,171706887.33177185
2025-08-06,1760037574.3934631,119122964.41955566
2025-08-07,2764349512.739563,190701985.6355667
2025-08-08,1925798102.015686,334314553.51867676
2025-08-11,2919240913.658142,310052166.7201996
2025-08-12,2273559332.89032,306273722.4876404
2025-08-13,3828949863.2263184,544596096.2257385
2025-08-14,4772509101.086426,455430718.4375763
2025-08-15,2630034140.6433105,362102218.20373535
2025-08-18,2240317028.5110474,246142268.59474182
2025-08-19,3630342616.07666,322117722.24121094
2025-08-20,2647842182.2540283,250872967.46826172
2025-08-21,2177376352.0511627,150079274.62768555
2025-08-22,4421472000.0,863522740.3087616
2025-08-25,3512690651.6685486,333423547.8160858
2025-08-26,2616712766.72287,232185203.59573364
2025-08-27,2151420971.5759277,216558265.75393677
2025-08-28,1964355020.5718994,177127272.83363342
