date,stablecoin_mcap_usd,stablecoin_mcap_change_usd,btc_oi_value_usd,eth_oi_value_usd
2025-04-26,146823288025.0,95719008.0,,
2025-04-27,147695285561.0,871997536.0,,
2025-04-28,147890535534.0,195249973.0,,
2025-04-29,148611733563.0,721198029.0,,
2025-04-30,148905522663.0,293789100.0,,
2025-05-01,149333119679.0,427597016.0,,
2025-05-02,149440079658.0,106959979.0,,
2025-05-03,149711823199.0,271743541.0,,
2025-05-04,149981823181.0,269999982.0,,
2025-05-05,149974724245.0,-7098936.0,,
2025-05-06,149821728381.0,-152995864.0,,
2025-05-07,150106836051.0,285107670.0,,
2025-05-08,150178795118.0,71959067.0,,
2025-05-09,150350804952.0,172009834.0,,
2025-05-10,150393604947.0,42799995.0,,
2025-05-11,150514671503.0,121066556.0,,
2025-05-12,150615671502.0,100999999.0,,
2025-05-13,150663236041.0,47564539.0,,
2025-05-14,150926534831.0,263298790.0,,
2025-05-15,151333639504.0,407104673.0,,
2025-05-16,151745623801.0,411984297.0,,
2025-05-17,151802073801.0,56450000.0,,
2025-05-18,151901465555.0,99391754.0,,
2025-05-19,152051465524.0,149999969.0,,
2025-05-20,152286729390.0,235263866.0,,
2025-05-21,152473429748.0,186700358.0,,
2025-05-22,152809591181.0,336161433.0,,
2025-05-23,153131132875.0,321541694.0,,
2025-05-24,153333908216.0,202775341.0,,
2025-05-25,153364622848.0,30714632.0,,
2025-05-26,153364622847.0,-1.0,,
2025-05-27,153336099489.0,-28523358.0,,
2025-05-28,153545087010.0,208987521.0,,
2025-05-29,153582796589.0,37709579.0,,
2025-05-30,153692315960.0,109519371.0,,
2025-05-31,153658825957.0,-33490003.0,,
2025-06-01,153723758271.0,64932314.0,,
2025-06-02,153763502089.0,39743818.0,,
2025-06-03,154072283690.0,308781601.0,,
2025-06-04,154288119435.0,215835745.0,,
2025-06-05,154488400144.0,200280709.0,,
2025-06-06,154761323879.0,272923735.0,,
2025-06-07,155115000492.0,353676613.0,,
2025-06-08,155407500492.0,292500000.0,,
2025-06-09,155407500531.0,39.0,,
2025-06-10,156015285591.0,607785060.0,,
2025-06-11,155670088658.0,-345196933.0,,
2025-06-12,156031051481.0,360962823.0,,
2025-06-13,156034350481.0,3299000.0,,
2025-06-14,156311510783.0,277160302.0,,
2025-06-15,156288710782.0,-22800001.0,,
2025-06-16,156262534400.0,-26176382.0,,
2025-06-17,156350343711.0,87809311.0,,
2025-06-18,156397425951.0,47082240.0,,
2025-06-19,156493925950.0,96499999.0,,
2025-06-20,156674248726.0,180322776.0,,
