date,btc_realized_cap_usd,eth_realized_cap_usd
2025-01-20,2064889364625.0,
2025-01-20,1976533377975.0,
2025-01-20,2030393967000.0,
2025-01-20,2144129379437.5,
2025-01-21,2031029989312.5,
2025-01-21,2023709395625.0,
2025-01-21,2046108518562.5,
2025-01-21,2117446703062.5,
2025-01-22,2067360805875.0,
2025-01-22,2088154645312.5,
2025-01-22,2062814067312.5,
2025-01-22,2094077585437.5,
2025-01-22,2080218708812.5,
2025-01-23,2027357608500.0,
2025-01-23,2026377460406.25,
2025-01-23,2023811854812.5,
2025-01-23,2079103678093.75,
2025-01-24,2044439151562.5,
2025-01-24,2074171064875.0,
2025-01-24,2082503621562.5,
2025-01-24,2105499063937.5,
2025-01-25,2065891048000.0,
2025-01-25,2080575000000.0,
2025-01-25,2068456206781.25,
2025-01-25,2075610775000.0,
2025-01-26,2075037272000.0,
2025-01-26,2087135016000.0,
2025-01-26,2075653002343.75,
2025-01-26,2080221020062.5,
2025-01-26,2067549596062.5,
2025-01-27,2010887405125.0,
2025-01-27,1938411711093.75,
2025-01-27,1999612693343.75,
2025-01-27,1973346896800.0,
2025-01-28,2037117567500.0,
2025-01-28,2012357324062.5,
2025-01-28,2044031037343.75,
2025-01-28,2028960559968.75,
2025-01-28,2042654540250.0,
2025-01-29,2017916104312.5,
2025-01-29,2033185404375.0,
2025-01-29,2024079972312.5,
2025-01-29,2028449887125.0,
2025-01-29,2052636767812.5,
2025-01-30,2069887934843.75,
2025-01-30,2085950248562.5,
2025-01-30,2106768857531.25,
2025-01-30,2081215143312.5,
2025-01-31,2074320948656.25,
2025-01-31,2073517776781.25,
2025-01-31,2076271289843.75,
2025-01-31,2071327386375.0,
2025-02-01,2037073910531.25,
2025-02-01,2033120605156.25,
2025-02-01,2020447330156.25,
2025-02-01,2027988411468.75,
2025-02-01,2025818640062.5,
2025-02-01,2009776338250.0,
2025-02-02,1926607797075.0,
2025-02-02,1970575826750.0,
2025-02-02,2000670003750.0,
2025-02-02,1988194428000.0,
2025-02-02,1968782207500.0,
2025-02-03,1923644679425.0,
2025-02-03,1868775505300.0,
2025-02-03,1889674292250.0,
2025-02-03,1954195404225.0,
2025-02-03,2005715690000.0,
2025-02-04,1968980645625.0,
2025-02-04,1965938342475.0,
2025-02-04,2002951090500.0,
2025-02-04,1951470070550.0,
2025-02-05,1939597680425.0,
2025-02-05,1954195004925.0,
2025-02-05,1922254823125.0,
2025-02-05,1916477015925.0,
2025-02-05,1941867174200.0,
2025-02-06,1935415095600.0,
2025-02-06,1957088584925.0,
2025-02-06,1936306728300.0,
2025-02-06,1913126366250.0,
2025-02-07,1951340884500.0,
2025-02-07,1922510983331.25,
2025-02-07,1932540492187.5,
2025-02-07,1918408331300.0,
2025-02-07,1918874191609.375,
2025-02-08,1914315296512.5,
2025-02-08,1909211049337.5,
2025-02-08,1907258359125.0,
2025-02-08,1907604947462.5,
2025-02-08,1910567995350.0,
