date,stablecoin_mcap_usd
2024-12-07,138176856741.0
2024-12-08,138401080741.0
2024-12-09,138337361929.0
2024-12-10,138781859312.0
2024-12-11,138915791058.0
2024-12-12,140005800450.0
2024-12-13,140404910980.0
2024-12-14,140448004125.0
2024-12-15,140537641436.0
2024-12-16,140568004125.0
2024-12-17,140758577764.0
2024-12-18,140880782929.0
2024-12-19,140922490659.0
2024-12-20,140886878527.0
2024-12-21,140385777553.0
2024-12-22,140061740871.0
2024-12-23,140292853908.0
2024-12-24,139688611814.0
2024-12-25,139664974670.0
2024-12-26,139675859154.0
2024-12-27,139531857650.0
2024-12-28,139272991974.0
2024-12-29,139205722458.0
2024-12-30,138851015375.0
2024-12-31,137825770033.0
2025-01-01,137388677499.0
2025-01-02,137416189761.0
2025-01-03,137562831740.0
2025-01-04,137474579521.0
2025-01-05,137521413557.0
2025-01-06,137563370382.0
2025-01-07,137645514579.0
2025-01-08,137505135441.0
2025-01-09,137935774895.0
2025-01-10,137761713901.0
2025-01-11,137722241100.0
2025-01-12,137665311556.0
2025-01-13,137735645823.0
2025-01-14,137530090663.0
2025-01-15,137582647233.0
2025-01-16,137762258053.0
2025-01-17,137802584445.0
2025-01-18,138480973594.0
2025-01-19,138531794731.0
2025-01-20,138529717130.0
2025-01-21,138761501548.0
2025-01-22,138819926586.0
2025-01-23,139155191071.0
2025-01-24,139236520740.0
2025-01-25,139763773679.0
2025-01-26,139767735496.0
2025-01-27,139760049115.0
2025-01-28,139822724633.0
2025-01-29,139923109874.0
2025-01-30,139982628523.0
2025-01-31,139968547355.0
2025-02-01,139945461409.0
2025-02-02,139940662041.0
2025-02-03,140116092699.0
2025-02-04,139934356581.0
2025-02-05,141281000185.0
2025-02-06,141868639474.0
2025-02-07,141827071091.0
2025-02-08,142126491830.0
2025-02-09,142199011789.0
2025-02-10,142191510636.0
2025-02-11,142323303749.0
2025-02-12,142266481024.0
2025-02-13,142417199851.0
2025-02-14,142225869513.0
2025-02-15,142413856453.0
2025-02-16,142412375399.0
2025-02-17,142412375399.0
2025-02-18,142163336327.0
2025-02-19,142066249126.0
2025-02-20,142682643615.0
2025-02-21,142752651764.0
2025-02-22,142951416400.0
2025-02-23,142951416393.0
2025-02-24,142857128577.0
2025-02-25,142667676864.0
2025-02-26,142332418484.0
2025-02-27,142231635810.0
2025-02-28,142525896059.0
2025-03-01,142586943414.0
2025-03-02,142739869168.0
2025-03-03,142684548875.0
2025-03-04,142848550247.0
2025-03-05,142862979376.0
2025-03-06,143086711350.0
2025-03-07,143108096504.0
2025-03-08,143185417260.0
2025-03-09,143259042700.0
2025-03-10,143200297503.0
2025-03-11,143300960349.0
2025-03-12,143525244008.0
2025-03-13,143678737175.0
2025-03-14,143748815811.0
2025-03-15,143836896633.0
2025-03-16,143827259557.0
2025-03-17,143825677336.0
2025-03-18,144041499822.0
2025-03-19,144100778448.0
2025-03-20,144204251547.0
2025-03-21,143883754562.0
2025-03-22,144166459229.0
2025-03-23,144217665673.0
2025-03-24,144224155757.0
2025-03-25,144459985751.0
2025-03-26,144698008877.0
2025-03-27,144839155508.0
2025-03-28,144807717547.0
2025-03-29,144457723251.0
2025-03-30,144464659666.0
2025-03-31,144616291852.0
2025-04-01,144731665618.0
2025-04-02,144727200008.0
2025-04-03,144754922251.0
2025-04-04,144734168751.0
2025-04-05,144716239738.0
2025-04-06,144655271475.0
2025-04-07,144517737938.0
2025-04-08,144751594183.0
2025-04-09,144670289020.0
2025-04-10,144975956402.0
2025-04-11,144791330664.0
2025-04-12,144941453849.0
2025-04-13,145156651309.0
2025-04-14,144991807560.0
2025-04-15,144988134604.0
2025-04-16,145230969405.0
2025-04-17,145411564253.0
2025-04-18,145389131100.0
2025-04-19,145019803019.0
2025-04-20,145212905298.0
2025-04-21,145204655279.0
2025-04-22,145254984859.0
2025-04-23,145771856311.0
2025-04-24,146144939953.0
2025-04-25,146727569017.0
2025-04-26,146823288025.0
2025-04-27,147695285561.0
2025-04-28,147890535534.0
2025-04-29,148611733563.0
2025-04-30,148905522663.0
2025-05-01,149333119679.0
2025-05-02,149440079658.0
2025-05-03,149711823199.0
2025-05-04,149981823181.0
2025-05-05,149974724245.0
2025-05-06,149821728381.0
2025-05-07,150106836051.0
2025-05-08,150178795118.0
2025-05-09,150350804952.0
2025-05-10,150393604947.0
2025-05-11,150514671503.0
2025-05-12,150615671502.0
2025-05-13,150663236041.0
2025-05-14,150926534831.0
2025-05-15,151333639504.0
2025-05-16,151745623801.0
